id,date,NO2_pred
1,2024-04-30,8.348245e-05
1,2024-05-01,8.390376e-05
1,2024-05-02,8.444454e-05
1,2024-05-03,8.495187e-05
1,2024-05-04,8.5715874e-05
1,2024-05-05,8.546135e-05
1,2024-05-06,8.6133674e-05
1,2024-05-07,8.6134605e-05
1,2024-05-08,8.6657616e-05
1,2024-05-09,8.7039705e-05
1,2024-05-10,8.736503e-05
1,2024-05-11,8.7488035e-05
1,2024-05-12,8.7631146e-05
1,2024-05-13,8.829292e-05
1,2024-05-14,8.880666e-05
1,2024-05-15,8.881848e-05
2,2024-04-30,8.463031e-05
2,2024-05-01,8.479835e-05
2,2024-05-02,8.5346284e-05
2,2024-05-03,8.548228e-05
2,2024-05-04,8.6061824e-05
2,2024-05-05,8.540713e-05
2,2024-05-06,8.593256e-05
2,2024-05-07,8.585342e-05
2,2024-05-08,8.6424625e-05
2,2024-05-09,8.6264285e-05
2,2024-05-10,8.633431e-05
2,2024-05-11,8.662808e-05
2,2024-05-12,8.6460976e-05
2,2024-05-13,8.70367e-05
2,2024-05-14,8.742314e-05
2,2024-05-15,8.776043e-05
3,2024-04-30,8.575978e-05
3,2024-05-01,8.6266344e-05
3,2024-05-02,8.663228e-05
3,2024-05-03,8.690786e-05
3,2024-05-04,8.722334e-05
3,2024-05-05,8.7187276e-05
3,2024-05-06,8.746903e-05
3,2024-05-07,8.7532164e-05
3,2024-05-08,8.77762e-05
3,2024-05-09,8.7826236e-05
3,2024-05-10,8.79133e-05
3,2024-05-11,8.8096465e-05
3,2024-05-12,8.815885e-05
3,2024-05-13,8.8429326e-05
3,2024-05-14,8.840123e-05
3,2024-05-15,8.84253e-05
4,2024-04-30,7.8558456e-05
4,2024-05-01,7.854653e-05
4,2024-05-02,7.8557816e-05
4,2024-05-03,7.853354e-05
4,2024-05-04,7.865887e-05
4,2024-05-05,7.8222176e-05
4,2024-05-06,7.8228775e-05
4,2024-05-07,7.795824e-05
4,2024-05-08,7.783865e-05
4,2024-05-09,7.7828656e-05
4,2024-05-10,7.7616656e-05
4,2024-05-11,7.7487864e-05
4,2024-05-12,7.726772e-05
4,2024-05-13,7.736096e-05
4,2024-05-14,7.7086755e-05
4,2024-05-15,7.684027e-05
5,2024-04-30,8.596411e-05
5,2024-05-01,8.580828e-05
5,2024-05-02,8.5833744e-05
5,2024-05-03,8.567481e-05
5,2024-05-04,8.5578075e-05
5,2024-05-05,8.5164545e-05
5,2024-05-06,8.513127e-05
5,2024-05-07,8.4949854e-05
5,2024-05-08,8.478378e-05
5,2024-05-09,8.446971e-05
5,2024-05-10,8.4364205e-05
5,2024-05-11,8.4271865e-05
5,2024-05-12,8.404302e-05
5,2024-05-13,8.3954576e-05
5,2024-05-14,8.401955e-05
5,2024-05-15,8.385613e-05
6,2024-04-30,9.289956e-05
6,2024-05-01,9.3283015e-05
6,2024-05-02,9.426969e-05
6,2024-05-03,9.477778e-05
6,2024-05-04,9.593526e-05
6,2024-05-05,9.560373e-05
6,2024-05-06,9.667967e-05
6,2024-05-07,9.7127784e-05
6,2024-05-08,9.787258e-05
6,2024-05-09,9.769086e-05
6,2024-05-10,9.843043e-05
6,2024-05-11,9.9304685e-05
6,2024-05-12,9.9681616e-05
6,2024-05-13,0.00010054372
