id,lat,long,zone,date,CO
1,18.74007870120448,98.91335808785006,urban,2023-11-01,0.03640862705484723
2,18.76559811840203,98.92891589958906,urban,2023-11-01,0.034746158989966004
3,18.7485846663651,98.9289158995633,urban,2023-11-01,0.036227979763715876
4,18.731571228912202,98.92891589956444,urban,2023-11-01,0.037121004127430926
5,18.791111128265864,98.94447493992463,urban,2023-11-01,0.03629110695577777
6,18.77410214222722,98.94447494902433,urban,2023-11-01,0.03600017439810508
7,18.757090678745303,98.94447493990828,urban,2023-11-01,0.03594982839945371
8,18.74007871834797,98.94447493987954,urban,2023-11-01,0.03707170261463264
9,18.723065258432655,98.94447493075144,urban,2023-11-01,0.03712100535631713
10,18.83362866444315,98.96003473115987,urban,2023-11-01,0.035002956171911924
11,18.816623631248998,98.96003473117173,urban,2023-11-01,0.03584055693743567
12,18.799616617653914,98.96003474023692,urban,2023-11-01,0.03636423455856489
13,18.7826076136698,98.96003473112485,urban,2023-11-01,0.03647095751481272
14,18.76559810565482,98.96003473107459,urban,2023-11-01,0.036085798590298826
15,18.748584661185397,98.96003473109663,urban,2023-11-01,0.0359922679940611
16,18.731571231481407,98.96003473112006,urban,2023-11-01,0.036475039970529685
17,18.84213017229777,98.97559378002752,urban,2023-11-01,0.034996777077953706
18,18.82512516247161,98.9755937800094,urban,2023-11-01,0.03576454588698711
19,18.808118649028923,98.97559378000697,urban,2023-11-01,0.03647163625989956
20,18.791111130814,98.97559377086888,urban,2023-11-01,0.03647414967419266
21,18.774102133565243,98.97559378912425,urban,2023-11-01,0.03636963888399773
22,18.75709067921216,98.97559378001435,urban,2023-11-01,0.03546820629848688
23,18.740078723392486,98.97559377995805,urban,2023-11-01,0.03543982833818461
24,18.723065253201693,98.97559377995931,urban,2023-11-01,0.035460383199244834
25,18.816623633573617,98.99115280259166,urban,2023-11-01,0.03646898769287323
26,18.799616630104307,98.99115281170437,urban,2023-11-01,0.03647414967417582
27,18.782607636523494,98.9911528025845,urban,2023-11-01,0.036396578575735465
28,18.765598139329224,98.99115280251972,urban,2023-11-01,0.0355295001611229
29,18.791111125802086,99.00671258026475,urban,2023-11-01,0.03643388742666376
30,18.774102141283294,99.00671259850732,urban,2023-11-01,0.035627004319670974
1,18.74007870120448,98.91335808785006,urban,2023-11-02,NA
2,18.76559811840203,98.92891589958906,urban,2023-11-02,NA
3,18.7485846663651,98.9289158995633,urban,2023-11-02,NA
4,18.731571228912202,98.92891589956444,urban,2023-11-02,NA
5,18.791111128265864,98.94447493992463,urban,2023-11-02,NA
6,18.77410214222722,98.94447494902433,urban,2023-11-02,NA
7,18.757090678745303,98.94447493990828,urban,2023-11-02,NA
8,18.74007871834797,98.94447493987954,urban,2023-11-02,NA
9,18.723065258432655,98.94447493075144,urban,2023-11-02,NA
10,18.83362866444315,98.96003473115987,urban,2023-11-02,NA
11,18.816623631248998,98.96003473117173,urban,2023-11-02,NA
12,18.799616617653914,98.96003474023692,urban,2023-11-02,NA
13,18.7826076136698,98.96003473112485,urban,2023-11-02,NA
14,18.76559810565482,98.96003473107459,urban,2023-11-02,NA
15,18.748584661185397,98.96003473109663,urban,2023-11-02,NA
16,18.731571231481407,98.96003473112006,urban,2023-11-02,NA
17,18.84213017229777,98.97559378002752,urban,2023-11-02,NA
18,18.82512516247161,98.9755937800094,urban,2023-11-02,NA
19,18.808118649028923,98.97559378000697,urban,2023-11-02,NA
20,18.791111130814,98.97559377086888,urban,2023-11-02,NA
21,18.774102133565243,98.97559378912425,urban,2023-11-02,NA
22,18.75709067921216,98.97559378001435,urban,2023-11-02,NA
23,18.740078723392486,98.97559377995805,urban,2023-11-02,NA
24,18.723065253201693,98.97559377995931,urban,2023-11-02,NA
25,18.816623633573617,98.99115280259166,urban,2023-11-02,NA
26,18.799616630104307,98.99115281170437,urban,2023-11-02,NA
27,18.782607636523494,98.9911528025845,urban,2023-11-02,NA
28,18.765598139329224,98.99115280251972,urban,2023-11-02,NA
29,18.791111125802086,99.00671258026475,urban,2023-11-02,NA
30,18.774102141283294,99.00671259850732,urban,2023-11-02,NA
1,18.74007870120448,98.91335808785006,urban,2023-11-03,0.036032137669824854
2,18.76559811840203,98.92891589958906,urban,2023-11-03,0.03630058073683451
3,18.7485846663651,98.9289158995633,urban,2023-11-03,0.03623035922645825
4,18.731571228912202,98.92891589956444,urban,2023-11-03,0.03569535668442422
5,18.791111128265864,98.94447493992463,urban,2023-11-03,0.03798028532020501
6,18.77410214222722,98.94447494902433,urban,2023-11-03,0.03860905802987033
7,18.757090678745303,98.94447493990828,urban,2023-11-03,0.03824659543487431
8,18.74007871834797,98.94447493987954,urban,2023-11-03,0.03723971839968114
9,18.723065258432655,98.94447493075144,urban,2023-11-03,0.0361541287380004
10,18.83362866444315,98.96003473115987,urban,2023-11-03,0.03710007216706852
11,18.816623631248998,98.96003473117173,urban,2023-11-03,0.037114493548881744
12,18.799616617653914,98.96003474023692,urban,2023-11-03,0.03723706633295425
13,18.7826076136698,98.96003473112485,urban,2023-11-03,0.03922997383026455
14,18.76559810565482,98.96003473107459,urban,2023-11-03,0.03923307359217663
15,18.748584661185397,98.96003473109663,urban,2023-11-03,0.03918886049146124
