date,hexagon_1,hexagon_2,hexagon_3,hexagon_4,hexagon_5,hexagon_6,hexagon_7,hexagon_8,hexagon_9,hexagon_10,hexagon_11,hexagon_12,hexagon_13,hexagon_14,hexagon_15,hexagon_16,hexagon_17,hexagon_18,hexagon_19,hexagon_20,hexagon_21,hexagon_22,hexagon_23,hexagon_24,hexagon_25,hexagon_26,hexagon_27,hexagon_28,hexagon_29,hexagon_30
2024-04-30,0.06515322,0.06291602,0.06384358,0.06603606,0.06296353,0.06281225,0.063294746,0.06554031,0.06606479,0.06593866,0.06461249,0.0634535,0.063051425,0.06283772,0.06420216,0.065905586,0.066942915,0.06576289,0.065403394,0.065254815,0.0652388,0.06502434,0.06459509,0.06493056,0.06536507,0.065341406,0.06530042,0.0656876,0.06542751,0.06558876
2024-05-01,0.06378384,0.062284455,0.062577516,0.06539306,0.06248835,0.062263723,0.062371995,0.063937955,0.06571615,0.06367461,0.06556303,0.06281459,0.06310696,0.062332414,0.06280848,0.06533175,0.064947784,0.06466226,0.0670753,0.065253936,0.06515483,0.064145766,0.063986994,0.06541611,0.0671769,0.06524978,0.06534654,0.06527521,0.06537523,0.06534148
2024-05-02,0.064065956,0.06278437,0.06289867,0.06572776,0.06302496,0.06277122,0.06281581,0.064142145,0.06601146,0.06362844,0.067213275,0.063299574,0.06377069,0.062848896,0.06309705,0.065693416,0.06445419,0.06440756,0.068596445,0.06519615,0.06513994,0.064109795,0.06429967,0.065991685,0.06875792,0.06505216,0.06521965,0.06513924,0.06523544,0.06518758
2024-05-03,0.06681898,0.06511626,0.0652717,0.068804644,0.06556811,0.06512372,0.06518199,0.06690863,0.069050275,0.06578879,0.0707751,0.06584495,0.06618602,0.065282226,0.06556739,0.06881678,0.066714965,0.06692243,0.07203014,0.06785352,0.06770863,0.06660037,0.06709108,0.06910139,0.072165325,0.06771549,0.06782031,0.067745134,0.06788445,0.06778501
2024-05-04,0.07306252,0.07064054,0.07086846,0.07526676,0.07142202,0.07066435,0.0707151,0.0731914,0.07549006,0.07174661,0.07803178,0.071911596,0.072423495,0.07095002,0.07137758,0.07532071,0.07331251,0.07372317,0.07920917,0.07552481,0.075280584,0.07294201,0.073448814,0.07559821,0.07932861,0.07522577,0.07546962,0.07531221,0.07556618,0.07538731
2024-05-05,0.08351248,0.0798836,0.0800929,0.08607793,0.081094295,0.07994054,0.079931125,0.083644174,0.08627657,0.08141899,0.089023136,0.08195789,0.08279375,0.08041853,0.080895334,0.08617056,0.08365259,0.08441997,0.08974316,0.0865185,0.08620193,0.083469056,0.0842841,0.086611375,0.08982089,0.086236745,0.08640169,0.08624757,0.08654165,0.08631409
2024-05-06,0.08392783,0.08117802,0.08291157,0.08474223,0.080848,0.08076922,0.08246271,0.08410715,0.08480581,0.08385592,0.078691445,0.07870224,0.07906352,0.079950474,0.081914395,0.08421573,0.085597694,0.08169593,0.07911135,0.07972702,0.08008486,0.08042421,0.08006638,0.08095787,0.079069875,0.079940155,0.07995528,0.08108913,0.08021575,0.08081126
