id,date,dt, co 
68,25/4/2024,25/4/2024, 0.050496 
68,26/4/2024,26/4/2024, 0.043099 
68,27/4/2024,27/4/2024, 0.059724 
68,28/4/2024,28/4/2024, 0.063097 
68,29/4/2024,29/4/2024, 0.054681 
69,14/4/2024,14/4/2024, 0.071594 
69,15/4/2024,15/4/2024, 0.064880 
69,16/4/2024,16/4/2024, NA 
69,17/4/2024,17/4/2024, 0.050870 
69,18/4/2024,18/4/2024, 0.057412 
69,19/4/2024,19/4/2024, 0.060045 
69,20/4/2024,20/4/2024, 0.046168 
69,21/4/2024,21/4/2024, 0.043291 
69,22/4/2024,22/4/2024, 0.060039 
69,23/4/2024,23/4/2024, 0.055636 
69,24/4/2024,24/4/2024, 0.052198 
69,25/4/2024,25/4/2024, 0.049891 
69,26/4/2024,26/4/2024, 0.043099 
69,27/4/2024,27/4/2024, 0.060415 
69,28/4/2024,28/4/2024, 0.062978 
69,29/4/2024,29/4/2024, 0.054773 
70,14/4/2024,14/4/2024, 0.071059 
70,15/4/2024,15/4/2024, 0.065289 
70,16/4/2024,16/4/2024, NA 
70,17/4/2024,17/4/2024, 0.051410 
70,18/4/2024,18/4/2024, 0.057292 
70,19/4/2024,19/4/2024, 0.060045 
70,20/4/2024,20/4/2024, 0.045362 
70,21/4/2024,21/4/2024, 0.045699 
70,22/4/2024,22/4/2024, 0.057834 
70,23/4/2024,23/4/2024, 0.054723 
70,24/4/2024,24/4/2024, 0.052412 
70,25/4/2024,25/4/2024, 0.049891 
70,26/4/2024,26/4/2024, 0.043099 
70,27/4/2024,27/4/2024, 0.060415 
70,28/4/2024,28/4/2024, 0.062978 
70,29/4/2024,29/4/2024, 0.054773 
71,14/4/2024,14/4/2024, 0.071059 
71,15/4/2024,15/4/2024, 0.066400 
71,16/4/2024,16/4/2024, NA 
71,17/4/2024,17/4/2024, 0.050624 
71,18/4/2024,18/4/2024, 0.057256 
71,19/4/2024,19/4/2024, 0.059528 
71,20/4/2024,20/4/2024, 0.045303 
71,21/4/2024,21/4/2024, 0.050065 
71,22/4/2024,22/4/2024, 0.057742 
71,23/4/2024,23/4/2024, 0.054182 
71,24/4/2024,24/4/2024, 0.054695 
71,25/4/2024,25/4/2024, 0.049670 
71,26/4/2024,26/4/2024, 0.043099 
71,27/4/2024,27/4/2024, 0.059499 
71,28/4/2024,28/4/2024, 0.062229 
71,29/4/2024,29/4/2024, 0.052589 
72,14/4/2024,14/4/2024, 0.070812 
72,15/4/2024,15/4/2024, 0.066389 
72,16/4/2024,16/4/2024, NA 
72,17/4/2024,17/4/2024, 0.049462 
72,18/4/2024,18/4/2024, 0.057175 
72,19/4/2024,19/4/2024, 0.057378 
72,20/4/2024,20/4/2024, 0.045303 
72,21/4/2024,21/4/2024, 0.050065 
72,22/4/2024,22/4/2024, 0.057742 
72,23/4/2024,23/4/2024, 0.054336 
72,24/4/2024,24/4/2024, 0.054695 
72,25/4/2024,25/4/2024, 0.049437 
72,26/4/2024,26/4/2024, 0.045750 
72,27/4/2024,27/4/2024, 0.059069 
72,28/4/2024,28/4/2024, 0.061832 
72,29/4/2024,29/4/2024, 0.051160 
73,14/4/2024,14/4/2024, 0.071744 
73,15/4/2024,15/4/2024, NA 
73,16/4/2024,16/4/2024, 0.056594 
73,17/4/2024,17/4/2024, 0.047615 
73,18/4/2024,18/4/2024, 0.058039 
73,19/4/2024,19/4/2024, 0.056285 
