                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2219,                 2.4007,                 2.0748,                 1.2919,                0.01421,                0.47817,                 0.3863,                0.23941,                0.01283,                0.43056,                 0.3854,                0.23745,                 1.4502,                0.37032,                 6.0274,                0.95488,             0.00025383,             0.00025383,             0.00025383
                     25,                 1.1447,                 2.0978,                 2.0428,                 1.2703,                0.01406,                0.24206,                 0.1859,                0.09331,                 0.0115,                0.19444,                0.18416,                0.10572,                 1.4835,                0.37369,                 5.9397,                 0.9755,             0.00026147,             0.00026147,             0.00026147
                     26,                 1.0918,                 2.3499,                 1.9792,                 1.2094,                0.01433,                0.47817,                0.38261,                0.24372,                0.01301,                0.43056,                0.38173,                0.23726,                 1.4835,                0.37369,                 5.9397,                 0.9755,             0.00026883,             0.00026883,             0.00026883
                     27,                 1.1254,                 2.2717,                 2.0193,                 1.2507,                0.01441,                0.24206,                  0.186,                0.08756,                  0.012,                0.19444,                0.18433,                0.10995,                 1.4889,                0.39807,                 5.8816,                0.98497,             0.00027591,             0.00027591,             0.00027591
                     28,                 1.1781,                 2.2095,                 1.9357,                 1.2496,                0.71022,                0.43056,                0.41218,                0.22877,                0.67141,                0.38889,                0.37576,                0.23455,                 1.4889,                0.39807,                 5.8816,                0.98497,              0.0002827,              0.0002827,              0.0002827
                     29,                 1.0894,                 2.0771,                 1.7859,                 1.1895,                0.01526,                0.24206,                 0.1439,                0.08081,                0.01305,                0.19444,                0.19804,                0.10908,                 1.4732,                0.39842,                 5.7829,                0.97652,             0.00028921,             0.00028921,             0.00028921
                     30,                  1.075,                 1.9891,                 1.6623,                 1.1909,                0.01526,                0.24206,                 0.1439,                0.08081,                0.01305,                0.19444,                0.19804,                0.10908,                 1.4732,                0.39842,                 5.7829,                0.97652,             0.00029543,             0.00029543,             0.00029543
                     31,                 1.1394,                 2.1784,                 1.8809,                 1.2162,                0.97669,                0.08333,                0.14943,                0.09956,                0.97669,                0.08333,                0.20347,                0.10589,                 1.3402,                0.39661,                 5.6318,                0.92521,             0.00030138,             0.00030138,             0.00030138
                     32,                 1.0162,                 2.0316,                 1.8478,                 1.1582,                0.97669,                0.08333,                0.14943,                0.09956,                0.97669,                0.08333,                0.20347,                0.10589,                 1.3402,                0.39661,                 5.6318,                0.92521,             0.00030704,             0.00030704,             0.00030704
                     33,                 1.0768,                 1.9768,                 1.6755,                 1.1954,                 0.6775,                0.13267,                0.15167,                0.09465,                0.87936,                0.19444,                0.20533,                0.11099,                 1.3354,                0.38348,                 5.4903,                0.91732,             0.00031241,             0.00031241,             0.00031241
                     34,                 1.0283,                  2.095,                  1.693,                 1.1996,                0.81938,                0.27778,                0.39539,                0.24103,                0.97849,                0.33135,                0.39956,                0.24638,                 1.3354,                0.38348,                 5.4903,                0.91732,             0.00031751,             0.00031751,             0.00031751
                     35,                 1.0807,                 2.1447,                 1.7543,                 1.1991,                0.81279,                0.19444,                0.20645,                0.09692,                0.81279,                0.19444,                0.20488,                 0.1089,                 1.3416,                0.38493,                 5.5029,                0.91935,             0.00032232,             0.00032232,             0.00032232
                     36,                 1.0249,                 1.8109,                 1.5819,                 1.1764,                      1,                0.37779,                0.43855,                0.23639,                0.96281,                0.33089,                 0.4061,                0.24367,                 1.3416,                0.38493,                 5.5029,                0.91935,             0.00032685,             0.00032685,             0.00032685
                     37,                 1.0727,                 1.9262,                 1.6034,                 1.1656,                0.80238,                0.19444,                 0.2039,                0.13292,                0.80238,                0.19444,                0.20237,                 0.1223,                 1.2771,                0.38189,                 5.4444,                0.89795,             0.00033109,             0.00033109,             0.00033109
                     38,                 1.0565,                 2.1049,                 1.6495,                 1.2677,                      1,                 0.4068,                0.43691,                0.27038,                0.92121,                0.34172,                0.40143,                0.25906,                 1.2771,                0.38189,                 5.4444,                0.89795,             0.00033506,             0.00033506,             0.00033506
                     39,                  1.101,                 2.0734,                 1.5826,                 1.2211,                 0.8677,                0.19444,                0.20325,                0.14334,                 0.8677,                0.19444,                0.20168,                0.12786,                 1.2444,                0.39119,                  5.468,                0.89206,             0.00033874,             0.00033874,             0.00033874
                     40,                0.99906,                 2.0459,                  1.564,                 1.1476,                0.99906,                0.41077,                 0.4362,                0.27762,                0.92921,                0.35314,                0.40067,                0.26406,                 1.2444,                0.39119,                  5.468,                0.89206,             0.00034213,             0.00034213,             0.00034213
                     41,                 1.0188,                  1.742,                 1.5236,                 1.1765,                0.90731,                0.08333,                0.20332,                0.15647,                0.90731,                0.08333,                0.20332,                0.13424,                 1.2414,                0.39311,                 5.5799,                0.89676,             0.00034525,             0.00034525,             0.00034525
                     42,                0.95613,                 1.9854,                 1.3854,                 1.1527,                0.98248,                0.40825,                0.43621,                0.28824,                0.92428,                0.36175,                0.40154,                0.27021,                 1.2414,                0.39311,                 5.5799,                0.89676,             0.00034808,             0.00034808,             0.00034808
