,CO_statistics
count,181.0
mean,0.04736906519389548
std,0.01418505114136443
min,0.028225964877114484
25%,0.037913486292788214
50%,0.041795149988862496
75%,0.053322578949115955
max,0.09862978210773898
missing_count_in_raw,1369.0
start_date,2023-11-01
end_date,2024-04-29
